21145089	Jamia Hamdard	Dayal Bagh Education Institute University	
29475409		Ranchi University	
31759924		GAYATRI DEGREE COLLEGE	
14947091		Visveswaraiah Technological University (VTU)	
19872404	Institute of Cost And Works Accountants of India (ICWAI) |X| ICWAI	Sri Venkateshwara University (SVU), Tirupati	
28078120		Mahatma Jyotiba Phule Rohilkhand University (MJPRS)	
31823709		Nagarjuna University	
31925580		Jawaharlal Nehru Technological University (JNTU)	
26590897		Biju Patnaik University of Technology (BPUT)	
31957874		Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV), Bhopal	
31752269		Ranchi University	
31782716		Jawaharlal Nehru Technological University (JNTU)	
31917412	Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV), Bhopal	Vikram University, Ujjain	
577634	Institute of Chartered Accountant of India (ICAI) |X| Institute of Chartered Accountant of India (IC	Rajasthan University	
31918894	Osmania University	Osmania University	
31840593		Sri Venkateshwara University (SVU), Tirupati	
31150337	Andhra University	Andhra University	
998464	Delhi University - Other	Delhi University - Other	
31895561		Utkal University	
11383017	Jawaharlal Nehru University (JNU) |X| Jawahar Lal Nehru University (JNU)	Osmania University	
19362743	Institute OF Apllied Medicine and Resarch	Bundel Khand University	
31485469		City & Guilds UK	
13913488	Osmania University	Osmania University	
6828533	Institute of Chartered Accountant of India (ICAI) |X| Institute of Chartered Accountant of India (IC	Nagarjuna University	
896495	Chennai University	Chennai University	Birla Institute of Technology and Science (BITS), Pilani |X| BITS, Pilani
22354221	Trident Academy of Creative Technology	BANKI COLLEGE ,BANKI	
31934184		Nagarjuna University	
23551172		Rajasthan University	
31339357		Kakatiya University	
26578024		Mumbai University	
31398968		Nagarjuna University	
31637638		Saurashtra University	
19641878	Sri Krishnadevaraya University (SKU)	Sri Venkateshwara University (SVU), Tirupati	
6680236		Board of Technical Education (BTE)	
9964638		S.T.J.INSTITUTE OF TECHNOLOGY ,Ranebennur	
30259281	Mumbai University	Mumbai University	
31493261		Swami Ramanand Teerth Marathawada University (SRTMU)	
22835534		Punjab Technical University (PTU)	
29218191		Osmania University	
14825728	Anna University	Anna University	
31185128		Biju Patnaik University of Technology (BPUT)	
29233195		Maharishi Dayanand University (MDU), Rohtak	
3148486		SJCE, VTU	
31625759		Sri Venkateshwara University (SVU), Tirupati	
14574808		Jawaharlal Nehru Technological University (JNTU)	
9472376		National Academy of Management	
31787352	Osmania University	Osmania University	
564508	Xavier Institute of Management and Entrepreneurship XIME 	Madras University	
31818565		Sikkim Manipal University (SMU)	
17135278		Techno India, Kolkata	
1307596	Indian Institute of Management (IIM), Bangalore |X| IIM Banglore	S.I.T, Tumkur	
28729029		Punjab Technical University (PTU)	
31305501	Sri Krishnadevaraya University (SKU)	Sri Krishnadevaraya University (SKU)	
31900576	Sri Venkateshwara University (SVU), Tirupati |X| Sri Venkateshwara University Tirupati	Sri Venkateshwara University (SVU), Tirupati	
31860861		Jawaharlal Nehru Technological University (JNTU)	
31619312	Nagarjuna University	Nagarjuna University	
31785473		Jawaharlal Nehru Technological University (JNTU)	
31930810	Jawaharlal Nehru Technological University (JNTU)	Nagarjuna University	
14732844		SRM INSTITUTE OF SCIENCE AND TECHNOLOGY	
31553168	Sikkim Manipal University (SMU)	Sambalpur University	
17012916	Bharti Vidyapeeth	Rajasthan University	
30148035		Nagarjuna University	
30531756	Osmania University	Osmania University	
31850905	Nagarjuna University	Nagarjuna University	
25860187	Visveswaraiah Technological University (VTU) |X| Visveswaraiah Technological University (VTU)	Sri Venkateshwara University (SVU), Tirupati	
9479984	Amity University	Delhi University - Other	
31351598		Jawaharlal Nehru Technological University (JNTU)	
7406753		GNDEC-Ludhiana	
20215370	BHABHA INSTITUTE OF TECHNOLOGY	Bhabha institute of Technology	
24348105		Delhi University - Hindu College 	
24184080	Uttar Pradesh Technical University (UPTU) |X| Uttar Pradesh Technical University (UPTU)	Veer Bahadur Singh Purvanchal University (VBSPU)	
31957926		Mumbai University	
31188503	NO	Jawaharlal Nehru Technological University (JNTU)	NO
31921172		Anna University	
31750496	Osmania University	Osmania University	
28082410		Jawaharlal Nehru Technological University (JNTU)	
29904011		Jawaharlal Nehru Technological University (JNTU)	
31957928		chengalvarayan nayakar instute	
31485618		Nagarjuna University	
21541587		Jawaharlal Nehru Technological University (JNTU)	
8797605		Uttar Pradesh Technical University (UPTU)	
17803010		Calcutta University	
30360162		Magadh University	
12257408		DR.K.N.MODI INSTITUTE OF ENGG. & TECHNOLOGY	
26381357	Bharatiya Vidya Bhavan (BVB)	Panjab University |X| Punjab	Sikkim Manipal University (SMU)
31916994	Sambalpur University	Sambalpur University	
15672573	Uttar Pradesh Technical University (UPTU) |X| Uttar Pradesh Technical University (UPTU)	Meerut University	
1299147		Sri Sivasubramania Nadar college of Engineering, Chennaige of	
10177495		Govt. polytechnic, Gorakhpur	
11060503		V.T.U	
18597479		Mumbai University	
31679454		Kerala University	
26086201		Uttar Pradesh Technical University (UPTU)	
31629897		Nagarjuna University	
27093828	Mahatma Jyotiba Phule Rohilkhand University (MJPRS)	Mahatma Jyotiba Phule Rohilkhand University (MJPRS)	
17254355		Andhra University	
31183841	Biju Patnaik University of Technology (BPUT)	RAVENSHAW UNIVERSITY	
29195517		Jawaharlal Nehru Technological University (JNTU)	
27212267	Osmania University	Sri Krishnadevaraya University (SKU)	
11870271		Board of Technical Education (BTE)	
29929293	Madurai Kamaraj University (MKU)	Madurai Kamaraj University (MKU)	
31803252		cape institute of technology	
28703548		Osmania University	
28192830	Sikkim Manipal University (SMU)	Kanpur University	
22270450		Mumbai University	
1136324	Annamalai University	Andhra University	
30084071		Malineni Lakshmaiah Engineering College.	
31490796	Jawaharlal Nehru Technological University (JNTU)	Sri Krishnadevaraya University (SKU)	
31951734	Anna University	Bhartiyar University, Coimbatore	
8482761	V T U, M.S Ramaiah Institute of technology, Bangalore	D.A.V.V, CEA, Indore	
11697310	Birla Institute of Technology (BIT), Ranchi |X| Birla Inst. of Technology, Ranchi	B.I.T. Sindri, Dhanbad	
31877093		Jawaharlal Nehru Technological University (JNTU)	
12371832	Pune University	Pune University	
22353006		College of Engineering,Bhubaneswar	
8762250	Kurukshetra University	Kurukshetra University	
31765288	Anna University	Sri Venkateshwara University (SVU), Tirupati	
3645016	Bangalore University	Kannur University	
21431173	Osmania University	MCRP University, Bhopal	
31619444		Sri Venkateshwara University (SVU), Tirupati	
1014583	Gandhigram Rural University	Madurai Kamaraj University (MKU)	
30287742	Pune University	Pune University	
17519820		HNB Garhwal University (HNBGU)	
30790530	Berhampur University	Utkal University	
31351676		Osmania University	
16755152		karnataka drugs control department	
31708375		Visveswaraiah Technological University (VTU)	
31288714		Hyderabad University	
31165477		Madurai Kamaraj University (MKU)	
31461508		Pune University	
16889556		Amravati University |X| Amaravati	
31564949		Jawaharlal Nehru Technological University (JNTU)	
31590830		Anna University	
22474679		Anna University	
2693894	Andhra University	Andhra University	
22070651	Institute of Technology and Science	Vinoba Bhave University (VBU)	
30221571		Jawaharlal Nehru Technological University (JNTU)	
28272839		Guru Ghasidas University (GGU)	
18267314	Madurai Kamaraj University (MKU)	Madurai Kamaraj University (MKU)	
12712463		Madurai Kamaraj University (MKU)	
31306308	Jawaharlal Nehru University (JNU) |X| Jawahar Lal Nehru University (JNU)	Nagarjuna University	
19552934		Rajasthan University	
6332560	Mumbai University	Mumbai University	
31958005		Pune University	
30536086		Jawaharlal Nehru Technological University (JNTU)	
25534219	Mumbai University	Mumbai University	
24591693	Indian Institute of Modern Management (IIMM), Pune	Jabalpur University	
31067190		Andhra University	
12701163	Institute of Management and Information Science , Bhubaneswar	Birla Institute of Technology (BIT), Ranchi |X| Inst	
31782525		Nagpur University	
20792250	Rajasthan University	Rajasthan University	
31907974		Sri Krishnadevaraya University (SKU)	
25046204		North Eastern Hill University (NEHU)	
31884717	Mahatma Jyotiba Phule Rohilkhand University (MJPRS)	Mahatma Jyotiba Phule Rohilkhand University (MJPRS)	
26082305		Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV), Bhopal	
14651277		AISSMSs Polytechnic, Pune	
31797348	Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV), Bhopal	Jiwaji University	
18445728		Anna University	
8207544		B.I.S.T,Bhopal	
31276847		Sri Krishnadevaraya University (SKU)	
31823485		Nagarjuna University	
29435782	Deen Dayal Upadhyay Gorakhpur University (DDUGU)	Deen Dayal Upadhyay Gorakhpur University (DDUGU)	
31654431		Nagarjuna University	
24011507	Andhra University	Andhra University	
24760569		bput,orissa	
31944111		Andhra University	
15505782		Rajasthan University	
30450846		Visveswaraiah Technological University (VTU)	
9286747		SJCE, Mysore	
31958023	Bharathidasan University, Trichy |X| Bharatidasan Trichy	Sri Krishnadevaraya University (SKU)	
20876967		Madurai Kamaraj University (MKU)	
31096358	Biju Patnaik University of Technology (BPUT)	Utkal University	
9992942	NYIT, NY, USA	Madras University	
31908112	Osmania University	Kakatiya University	
31743552		Jawaharlal Nehru Technological University (JNTU)	
30713701		Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV), Bhopal	
25725236	Pune University	Magadh University	
31676263		Jawaharlal Nehru Technological University (JNTU)	
27052830	ALARD SCHOOL OF BUSINESS MANAGEMENT,PUNE	Ranchi University	
31712585		Sri Krishnadevaraya University (SKU)	
1090826	Symbiosis Centre for Distance Learning (SCDL)	J.N.V.University, Jodhpur	
31957712		Sri Venkateshwara University (SVU), Tirupati	
28475824		Kakatiya University	
31459465		Osmania University	
30862164	Osmania University	Osmania University	
11030268		MPUAT	
27955848		Jawaharlal Nehru Technological University (JNTU)	
28659305	LEEDS METROPOLITAN UNIVERSITY	Meerut University	
31394486	Utkal University	Utkal University	
31958043	Bharathidasan University, Trichy |X| Bharatidasan Trichy	Annamalai University	
31292292	Berhampur University	Utkal University	
31924978		Jawaharlal Nehru Technological University (JNTU)	
24255017	Uttar Pradesh Technical University (UPTU) |X| Uttar Pradesh Technical University (UPTU)	Veer Bahadur Singh Purvanchal University (VBSPU)	
27828355		Jawaharlal Nehru Technological University (JNTU)	
31929722		Nagarjuna University	
28496761		Vinayaka Mission University (VMU)	
31928247		Sri Venkateshwara University (SVU), Tirupati	
9884602		Jawaharlal Nehru Technological University	
20377794		Nagarjuna University	
30871815		Jawaharlal Nehru Technological University (JNTU)	
5788447		novatel institute of hotel management	
29609492		Sri Venkateshwara University (SVU), Tirupati	
31776687		Jawaharlal Nehru Technological University (JNTU)	
31480232		Sri Venkateshwara University (SVU), Tirupati	
31617951	Osmania University	Nagarjuna University	
